DESCRIÇÃO,QTDE ,VLR TOT
BANQUETA ALTA MADEIRA ASSENTO CORDA,869,6811
"MESA PARA CONVIDADOS 1,60 10 LUGARES C / PÉ FERRO",219,3017
"BISTRÔ MADEIRA ALTO 60x60 x1,05 ALT",194,6825
BISTRÔ MADEIRA BAIXO 60 CM,149,3708
BISTRÔ ALTO MADEIRA COLETIVO 2M,114,9460
"MESA MADEIRA RETANGULAR APOIO 1,60x60",76,3800
TOTEM MADEIRA 40x40,63,1635
CONJUNTO DE MESA DOBRÁVEL 70x70 C / 4 CADEIRAS DOBRÁVEIS,54,3515
"BIOMBO TRELIÇA MADEIRA 2,40x2,20 ALT",50,5880
BAR ESTRUTURADO MADEIRA 2M,33,5990
"BANCO MADEIRA  1,80x60",31,1500
"APARADOR MADEIRA 1,50x50  C / 1 GAVETA",29,2240
"MESA MADEIRA 2,50X1 PÉS CUBO",24,3910
"MESA PRANCHÃO  2,20 COM PÉ FERRO",24,455
MESA DE CENTRO MADEIRA 1x1,21,1050
"MESA MADEIRA 1,60x80 C / 2 GAVETAS",20,2430
"BAR MADEIRA 1,70x70 C / PRATELEIRA INTERNA",19,2850
MESA MADEIRA 3X1M PÉS CUBO,19,3400
"MESA PARA CONVIDADOS TAMPO 1,20 DIÂMETRO",19,252
"APARADOR MADEIRA SLIM 1,70x60",17,1820
CUBO  MADEIRA 50x50x95ALT,16,715
"MESA MADEIRA 2,20x80 C / 2 GAVETAS",12,1780
"NICHO MADEIRA RÚSTICO 1,50x2M",12,1380
"APARADOR MADEIRA 2,00x60 C / 2 GAVETAS",11,1240
"BAR ESTRUTURADO MADEIRA 3x0,60X1,05ALT",11,2750
MESA MADEIRA 2x1 PÉS CUBO,10,1520
CAVALETE MADEIRA ALTO,9,400
ESTANTE MADEIRA COM 5 PRATELEIRAS,8,700
"MESA MADEIRA 2,20x90 C / 2 GAVETAS",8,1140
CUBO MADEIRA 50x50x75ALT,7,205
"MESA MADEIRA REDONDA 1,20 PÉ TORNEADO",6,900
"MESA RETANGULAR BAIXA 1,60",6,300
TOTEM LATERAL PALLET COR CRUA 40X40X50A,6,150
ESPELHO GRANDE MOLDURA MADEIRA,5,730
FLOREIRA MADEIRA PARA ILHA DE PUFES,5,410
"MESA MADEIRA 1,40x1,40 PÉ CUBO",5,710
"MESA MADEIRA 1,40x1,40 C / FURO NO MEIO",4,610
MESA MADEIRA 3x1 C / 2 GAVETAS FALSAS,4,810
"MESA MADEIRA SLIM ESPELHADA  2,50x1m",4,1430
"PÚLPITO MADEIRA 1,20X50X30 C/ PRATELEIRA INTERNA",4,280
"TAMPO PARA MESA 1,80  (12 LUGARES)  SEM PERNAS",4,62
TOTEM MADEIRA 50x50,4,100
"BALANÇO MADEIRA 2,80 L X 2 ALT PROFUNDIDADE 65CM PARA SENTAR",3,1050
CHAISE RETANGULAR TECIDO BEGE CAFÉ 2m,3,480
CRISTALEIRA MADEIRA ANTIGA 2 PORTAS E 2 GAVETAS,3,490
CUBO MADEIRA  40x40x50 ALT,3,85
"MESA MADEIRA TAMPO 1,60 COM PÉ CUBO",3,408
COMODA RÚSTICA 1 GAVETA  2 PORTAS,2,240
CUBÃO 70x70  MADEIRA,2,75
CUBO  MADEIRA 50x50x95ALT COM TAMPO 80X80,2,170
MESA CENTRO MADEIRA CUBO 1x1,2,140
"MESA MADEIRA 1,40x1,40 C / 4 GAVETAS FALSAS",2,280
"MONTAGEM BAR MADEIRA 3x3x1,05 ALT",2,1700
TAMPO MADEIRA 80X80,2,80
COMODA RÚSTICA 3 GAVETAS 2 PORTAS,1,140
CONJUNTO DE CILINDRO MADEIRA,1,150
CRIADO MUDO 1 GAVETA,1,60
CRISTALEIRA MADEIRA 1 GAVETA,1,150
"MESA MADEIRA 1,60 PÉ CILINDRO (ESTILO CARRETEL)",1,140
"MESA MADEIRA 2,50X1M COM 2 GAVETAS",1,160
"MESA MADEIRA REDONDA 1,20M PÉ SIMPLES",1,100
"MESA MADEIRA REDONDA 1,60 PÉ CILINDRO",1,140
MESA MADEIRA TAMPO MADEIRA RODA FERRO,1,150
MESA REDONDA  PÉ SIMPLES  (ENTRADA),1,100
PAINEL MURO INGLÊS COM BORDA MADEIRA,1,190
