DESCRIÇÃO,QTDE ,VLR TOT
HOUSE MIX 2 X 1,8,1380
CORTINA DUPLA  COL. C/ PERNA(ENTR. FORA VARANDA P /  SALÃO) + (REPOSTEIROS),1,1013
"HOUSE MIX 2,50 X 1",4,900
HOUSE MIX 3 X 1,3,900
"TAPADEIRA 2,50 M X 4 ALT (TECIDO FORNECIDO CLIENTE 10% DESC NA TAPADEIRA)",1,585
CORTINA COL. C/ PERNA   ( ENTRADA SALÃO PARA PISCINA),1,565
"TAPADEIRA 1 LADO  TECIDO  4,63X 2,25 ALT",1,520
"CORTINA REPOSTEIRO TAPADEIRA 3,89 M L x 2,60 ALT C/  ( BANHEIRO MASCULINO)",1,517.5
"CORTINA REPOSTEIRO TAPADEIRA 3,90 M L  x 2,60 ALT C/  ( BANHEIRO FEMININO)",1,517.5
"TAPADEIRA 2,83m L X 2,70 ALT",1,500
CORTINA EM TECIDO OXFORD4 largura 3 alt,1,480
CORTINA EM TECIDO VOIL  NA COR  4X3,1,480
CORTINA PERGOLADO MADEIRA 3X3 SEM,1,450
"CORTINA   4,05M LARG X 2,60M ALT",1,421
TAPADEIRA TECIDO LISO 2 LADO ( LADO OPOSTO  VARANDA ENCOSTADA NA PAREDE ),1,420
TAPADEIRA TECIDO LISO 2 LADOS (SAÍDA DE EMERGENCIA ),1,420
CORTINA COL. C/ PERNA  ( DENTRO SALÃO P/  VARANDA ) + (REPOSTEIROS),1,398
CORTINA CADA LADO DA TAPADEIRA (REPOSTEIROS),2,390
CORTINA CADA LADO TAPADEIRA ( REPOSTEIROS),2,390
"TAPADEIRA 3,80m L X 1,52 ALT SIMPLES",1,370
"CORTINA EM OXFORD3,75 M X M  2,20 ALT",1,330
"CORTINA SOBRE A JANELA 1,80Mx2,16",1,155.52
CORTINA( REPOSTEIROS),1,150
"CORTINA OXFORD  1,60x2,14 ALT  (m2)  (NA FRENTE DOS EXTINTORES)",1,145
"CORTINA VOILFUNDO PÓRTICO 2,50X50X2,30M ALT   50% desc.",1,75
