DESCRIÇÃO,QTDE ,VLR TOT
"BIOMBO  BRANCO 2,40x2,20   3  FOLHAS",15,1503
CRISTALEIRA BRANCA 2x90,3,450
"QUADRO NEGRO  LOUSA HORIZONTAL   2,50m  MOLDURA MADEIRA",2,360
QUADRO NEGRO  MOLDURA MADEIRA COM PÉS PEQUENO,3,360
"ESTANTE BRANCA 1,90x85 5 PRATELEIRAS",3,320
"BIOMBO  PRETO 3 fls 80cm 2,20 ALT",3,300
CAVALETE BRANCO GRANDE,6,300
CADEIRINHA INFANTIL BRANCA,38,228
QUADRO LOUSA GRANDE P / GIZ C / PERNAS,1,180
CRISTALEIRA MADEIRA BRANCA 2x90,1,150
APARADOR MADEIRA   BRANCO 2x60 2 GAVETAS,1,120
CADEIRINHA INFALTIL BRANCA,20,120
"MESA BRANCA MADEIRA 1,60x80 c / 2 GAVETAS",1,120
QUADRO NEGRO  VERTICAL GRANDE,1,120
QUADRO NEGRO GRANDE  MOLDURA MADEIRA P / GIZ,1,120
QUADRO NEGRO GRANDE  MOLDURA MADEIRA P/ ENCOSTAR NA PAREDE,1,120
QUADRO NEGRO LOUSA COM BORDA MADEIRA,1,120
QUADRO NEGRO MADEIRA  MÉDIO,1,120
QUADRO NEGRO   médio    MOLDURA MADEIRA,1,90
MESA CENTRO BRANCA / C 1 GAVETA,1,50
CADEIRINHA INFANTIS BRANCA,6,36
