FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
VERMELHA,59,472
VERDE TIFFANY LISTRADA VERMELHA E AZUL TIFANY TRABALHADA,12,96
VERDE LISTRADO,3,24
VERDE L ISA LISTRADA VERMELHA GELO AZUL TIFFANY,8,64
TONS DE VERDE,12,96
ROSA PINK,8,0
ROSA ANTIGO BRASÃO,6,0
REF:256,4,48
REF:10,4,32
PINK,10,80
OFF WHITE,8,64
LISTRAS ROSA,2,16
LISTRADA COD. 12,4,32
LILÁS,9,108
LARANJA,12,0
FLORAL COD. 54,4,32
FLORAL AZUL MARINHO,6,72
FENDI POÁ LISTRAS,4,32
FENDI,18,80
DOURADA 3 LISTRAS FINAS 3 BRASÃO 3 MEDALHÃO,6,48
CORES,55,476
COR BEGE ANTONIETA MEDALHÃO BEGE ANTONIETA LISTRAS,12,96
CODIGO 60 2 CÓDIGO 35,4,0
COD:  36,2,16
CADY COLORS,3,24
BRANCA,32,192
BORDÔ  4 REF:  10,21,168
BEGE,12,96
AZUL TIFFANY 2 LISA 2 LISTRADA  C/ DESCONTO,4,16
AZUL MARINHO CINZA  LISTRADA BEGE E AZUL,3,0
AZUL MARINHO,27,240
AZUL,10,80
8 MARSALA  8 CORAL,16,0
6 BORDÔ  6 FENDI  VERDE MILITAR,18,144
5 DOURADA  5 LISTRADA 5 ESTAMPADA,15,120
4 VERDE POÁ 4 ROSA ANTIGO POÁ 3 ROSA ANTIGO,11,132
4 VERDE LISTRADA CLARO 4VERDE POÁ,16,128
4 PRETA LISA 2 VERMELHA CÓDIGO 60,6,32
4 CINZA 4 REF:30,8,64
4 BORDÔ LISTRAS 10 AZUL ROYAL LISA 3 VERMELHAS,24,192
4 BORDÔ  2 AREIA,6,48
4 AZUL MARINHO LISA 4 AZUL MARINHO FLORAL  4 BEGE,12,96
4 AZUL MARINHO 4 BRANCA,8,0
3 ROSA CLARO 3 BRANCO,6,48
3 FLORAL AZUL CELESTE E ROSA 3 VERMELHO ESCURO,9,72
2 VERDE LISTRADA 2 VERDE PÓA 2 LISA VERDE MALVA,6,64
2 OFF WHITE 4 BEGE 4 OFF WHITE TRABALHADA,10,80
2 LISTRADAS BORDO 2 BORDÔ LISA,4,0
2 CORAL 2 AMARELO 2 LARANJA 2 FENDI,8,64
2 AZUL MARINHO VERDE MUSGO,4,32
2 AMARELA 2 AZUL TURQUESA 2 ROSA PINK 2 ROSA BEBÊ,10,80
10 AZUL CELESTE 1 LILÁS,11,66
1 ROXA 2 LILÁS,3,24
1 LARANJA 1CINZA 1 ROSA ANTIGO,3,0
1 AZUL ROYAL 1 AMARELA 1 VERMELHA,3,0
