DESCRIÇÃO,QTDE ,VLR TOT
PUFE 40x40,1365,15784
SOFÁ MODULÁVEL 2M 4 LUGARES,99,13960
"NAMORADEIRA 1,60x60",60,5400
SOFÁ COM BRAÇO 3 LUGARES,24,2937
PUFE 60x60,69,2210
"PUFE REDONDO 1,40 DIÂMETRO",13,1600
PUFE ILHA GRANDE,3,1050
"SOFÁ MODULÁVEL 1,60 M  3 LUGARES",8,1000
SOFÁ MEIA LUA S/ ENCOSTO,4,860
SOFÁ COM BRAÇO 2 LUGARES,8,820
PUFE 1x1,9,760
PALCO MADEIRA   50x3.00x20cm de alt,1,750
ILHA DE PUFES 60x60 COM FLOREIRA,2,640
"BAR BALCÃO 1,50x1,05 ALT",3,540
SOFÁ MODULÁVEL 3 LUGARES SEM BRAÇO,4,480
"PUFE 1,40X1,40",3,360
ILHA DE PUFES 60x60 SEM FLOREIRA,8,280
MESA CENTRO CUBO,4,280
"BAR BALCÃO RETANGULAR 2,50x1",1,250
"BAR CURVO 2,40",1,250
CILINDRO COM RODINHAS,2,240
CANTO MODULÁVEL,1,140
CANTO MODULO,1,140
COLOCAÇÃO DE RODINHAS,1,30
