FORRADO E/OU ASSENTO(CORES),QTDE ,VLR TOT
FENDI  MEDALHÃO BROCADA -203,79,2000
BEGE E BRANCO ARABESCO -204,79,1975
ROSA ANTIGO MEDALHÃO BROCADA -215,66,1650
AZUL MARINHO LISTRADA BROCADA-108,66,1356
FENDI LISTRADA BROCADA -201,54,1350
AZUL MARINHO LISTRADA BROCADA -208,48,1200
DOURADA MEDALHÃO BROCADA-225,47,1175
FENDI POÁ BROCADA -202,48,1172
OFF WHITE FOLHAGENS BROCADA -210,38,950
PRETO-103,50,949
ROSA ESCURO GOIABA-102,50,900
BEGE SIMPLES-115,48,864
BEGE ANTONIETA TRABALHADA BROCADA -252,36,851
BRANCOS E BEGE ANTONIETA MEDALHÕES BROCADA -250,33,825
CHAMPAGNE LISTRAS MÉDIAS BROCADA -266,29,725
PRETO E PRATA ARABESCO -206,29,725
OFF WHITE MEDALHÃO BROCADA -209,27,675
AZUL TIFFANY-112,32,660
BORDÔ LISA-107,33,650
BEGE ANTONIETA LISTRAS FINAS BROCADA -251,23,575
PRETO E PRATA LISTRAS LARGAS -207,23,575
NUDE FLORAL BROCADA -214,21,525
AZUL TIFFANY LISTRADA BROCADA -259,20,500
ROSA CLARO-104,27,486
BEGE ESCURO TRABALHADO BROCADA-243,19,475
DOURADA LISTRADA BROCADA-226,19,475
FLORAL ROSA CORAL/VERDE CRU BROCADA -221,19,475
BORDÔ FLORAL BROCADA -218,19,454
AZUL / FENDI/ CRU FLORAL BROCADA -227,16,400
CHAMPAGNE LISTRADA BROCADA -213,16,400
MARROM -117,15,375
ROSA GRAÚDO FLORAL BROCADA -229,15,375
AZUL TIFFANY GORGURINHO -135,20,360
NUDE TRABALHADA-105,20,360
BORDÔ LISTRAS FINAS-217,14,350
FLORAL LILÁS/ AZUL/CRU/ BROCADA -224,14,350
ROSA ANTIGO LISTRADA BROCADA -258,14,350
PRETO,15,315
FENDI/BRANCO LISTRAS FINAS BROCADA -223,13,305
AZUL MARINHO E BRANCO FLORAL BROCADA -256,12,300
CORAL TRABALHADO BROCADA -242,11,275
NUDE LISTRADA BROCADA -216,11,275
AZUL/CINZA E BEGE LISTRADA BROCADA -249,10,250
PRETA LISTRAS MÉDIAS BROCADA -205,10,250
CORAL TRABALHADO BROCADA -241,9,225
VERMELHO FENDI FLORAL BROCADA -235,9,225
MARROM-117,12,216
BEGE,7,185
CREME AMASSADO -130,10,180
NUDE GORGURINHO-131,10,180
AMARELO E BEGE FLORAL BROCADA -255,7,175
BRANCO-101,9,169
MARROM POÁ BROCADA -220,5,125
PRATA-262,5,125
MARROM,4,100
VERMELHO,4,100
BRANCO E PRETO MEDALHÕES BROCADA -263,3,75
PRETA LISTRAS MÉDIAS BROCADA-205,3,75
VERMELHO GORGURINHO-120,3,54
AZUL FENDI FLORAL-227,2,50
BRANCA LISTRADA BROCADA -212,2,50
REF 250,8,48
CORES,8,40
LARANJA LISA -111,1,18
AZUL REF: 256,2,12
FENDI MEDALHÃO,2,10
FENDI POÁ,2,10
NUDE,2,0
VERDE LISTRAS BROCADA -267,2,0
