DESCRIÇÃO,QTDE ,VLR TOT
TAPETE PLATINA 2 X 3,32,3300
TAPETE BEGE ESTAMPADO 3x4,9,3240
TAPETE BEGE MEDALHÕES 2 X 3,15,2590
TAPETE PERSA 2 X 3,13,2340
"TAPETE PERSA 2,5 X 3,5",8,1760
"TAPETE BEGE ESTAMPADO 2,50 x 3",8,1600
TAPETE AZUL MARINHO ESTAMPADO 2 x 3,9,1440
PASSADEIRA BEGE 10x1,9,1350
TAPETE AZUL MARINHO PATCHTWORK 2 X 3,7,960
PASSADEIRA VERDE 10X1,6,900
PASSADEIRA VERMELHA 10x1,5,750
TAPETE PERSA 3 x 4,2,660
TAPETE CAPUCCINO 2 X 3,3,300
TAPETE PRETO 2 X 3,3,300
PASSADEIRA VERMELHA 7x1,2,240
PASSADEIRA BEGE 5x1,2,200
PASSADEIRA VERMELHA 5x1,2,200
TAPETE LILÁS  2 x 3,1,200
"TAPETE BEGE ESTAMPADO  2,50 x 3",1,180
PASSADEIRA BEGE  10x1,1,150
TAPETE ROSA 2 x 3,1,150
PASSADEIRA VERMELHA 3X1,1,135
TAPETE MARROM CHOCOLATE 2 x 3,1,100
"TAPETE PERSA 2,50 x 3",1,100
"TAPETE PLATINA 1,50 x 2",1,70
