DESCRIÇÃO,QTDE ,VLR TOT
"MURO INGLÊS  ECOLÓGICO 3x2,30 ALT",23,6670
"PORTA RÚSTICA  ANTIGA MADEIRA   1,40 LARG",8,2480
"PÓRTICO TRELIÇA MADEIRA 3,50MX50X2,30 ALT",7,1750
"MURO INGLÊS ECOLÓGICO 3,20 X 2,15M ALT",5,1450
"PÓRTICO TRELIÇA MADEIRA  2,50x50x2,30",5,1250
MONTAGEM BAR QUADRADO 3x3 COM 4 PARTES,1,850
MONTAGEM DE MESA 6x1,2,800
MONTAGEM MESA 9x1M  PÉS CUBO 50x50,1,720
"MURO INGLÊS TRELIÇA  MADEIRA 1,40X2,20 alt c/ pés",5,720
"GAZEBO CHUPÁH  2,50x2,50  CORTINA NAS LATERAIS  E TETO COBERTO",1,550
"PERGOLADO MADEIRA  2,50x2,50 S/ CORTINAS",1,480
BALANÇO PARA DOCES PÓRTICO 3X1M TAMPO 2X1M,1,450
BALANÇO TAMPO 2x1 PARA DOCES PÓRTICO 3x1,1,450
PÓRTICO 3x1 PARA DOCES COM TAMPO 2x1,1,450
"PÓRTICO TRELIÇA  MADEIRA  SOB MEDIDA 3,50x3M ALT   (A.D SOB MEDIDA)",1,350
"GOLEIRA MADEIRA ( ARCO)  1,65Mx2,20 ALT",1,200
