DESCRIÇÃO,QTDE ,VLR TOT
"BISTRÔ ALTO COLETIVO  2x60x1,05 ALT",47,5290
"MESA MADEIRA 2,50 X 1M PÉS CUBO",7,1480
MESA 2X1  TAMPO ESPELHO PÉS CUBO,4,1130
"MESA RETANGULAR 1,60",15,990
"NICHO MADEIRA 1,50",6,795
MESA  MADEIRA 3x1 PÉS CUBO,3,780
"BANCO  MADEIRA 1,80x 50",7,490
CUBO MADEIRA 50x50x75 ALT C / TAMPO MADEIRA 80x80,6,475
CUBO MADEIRA 50x50x95ALT,8,440
"MESA APOIO 1,20 x60 KIDS MADEIRA SLIM",8,440
MESA 3X1 TAMPO ESPELHO PÉS CUBO,1,400
MESA MADEIRA 2x1 PÉS CUBO,2,360
"MESA MADEIRA ESPELHADA 2,50 x 1",1,350
"APARADOR U 1,70x60",2,260
TOTEM 40x40,7,245
CUBO 70x70x78 ALT,2,200
"BALCÃO 1,50x1",1,185
"QUADRO NEGRO HORIZONTAL MOLDURA PRETA 2,50 COM PERNAS",1,180
"APARADOR U 1,70x60  c / RODINHAS",1,150
FLOREIRA MADEIRA  2X33X65,1,150
"PAINEL  MOLDURA MADEIRA BRANCO 1,40x2,20 alt",1,140
APARADOR  U 2X60x80 ALT,1,110
"MESA DE KIDS  FORRADA 1,80",1,80
MESA CENTRO REDONDA,1,70
CUBO 50x50x78 ALT,1,55
"PÓRTICO TRELIÇA MADEIRA 3,50X50X2,30M ALT",1,0
